backtest_timerange,profit_total_abs,train_period_days,backtest_period_days,test_size,timeframe,leverage,target_shifted_candles,container_name,key,trades,profit_mean,profit_mean_pct,profit_total,profit_total_pct,duration_avg,wins,draws,losses,winrate,cagr,expectancy,expectancy_ratio,sortino,sharpe,calmar,sqn,profit_factor,max_drawdown_account,max_drawdown_abs
20250302-20250331,-1.9943311600000004,52,30,0.03,1h,5,10,pro-shiner-lion,AwesomeMacdFreqAi,20,-0.0023444893382734123,-0.23,-0.009971655800000001,-1.0,10:00:00,9,0,11,0.45,-0.1185043942542644,-0.0997165579999999,-0.052733190989442735,-0.8260942489310715,-0.5131892130945962,-7.773019238737203,-0.1698,0.9041214709282858,0.08451347726406001,17.52
20250302-20250331,10.277952609999998,60,30,0.03,1h,5,10,neat-crow-asp,AwesomeMacdFreqAi,25,0.00816616391995721,0.82,0.05138976304999999,5.14,9:38:00,12,0,13,0.48,0.878983588106862,0.41111810439999974,0.23015463569305927,3.8015944248673876,2.0602264024754966,58.46154534646719,0.6128,1.4426050686404988,0.05791015914512748,12.569
20250302-20250331,-5.379476480000001,34,30,0.03,1h,5,10,joint-mako-crow,AwesomeMacdFreqAi,16,-0.007358809731149974,-0.74,-0.026897382400000006,-2.69,10:00:00,6,0,10,0.375,-0.29048398440175405,-0.3362172800000003,-0.16101591495050094,-1.9542927496376739,-1.19499103563683,-19.58984841989936,-0.4391,0.7423745360791987,0.09045391656746316,18.651
20250302-20250331,0.08003130000000294,50,30,0.03,1h,5,10,golden-ghoul-teal,AwesomeMacdFreqAi,23,0.002588900372612983,0.26,0.00040015650000001473,0.04,9:37:00,9,0,14,0.391304347826087,0.005048144244096164,0.003479621739130412,0.0019503739066162318,0.030132073447377377,0.017489446004498196,0.28829392103503976,0.0054,1.0032041857037268,0.09144139127265806,19.481
20250302-20250331,4.912425689999999,40,30,0.03,1h,5,10,poetic-tuna-sloth,AwesomeMacdFreqAi,20,0.0034718008350257306,0.35,0.024562128449999995,2.46,9:33:00,8,0,12,0.4,0.35717924090381326,0.24562128449999987,0.13402273034427004,1.8342280235087642,0.9110526835952395,19.838281481303277,0.3014,1.2233712172404498,0.0815662290292879,17.619
20250302-20250331,-4.20676608,36,30,0.03,1h,5,10,native-elf-worm,AwesomeMacdFreqAi,18,-0.004953873133675544,-0.5,-0.021033830400000002,-2.1,9:30:00,6,0,12,0.3333333333333333,-0.23475559837882853,-0.23370922666666682,-0.14031934116339995,-1.4963764158800406,-1.0105937589286529,-16.439501666512793,-0.3514,0.7895209882549,0.08429040752629663,17.339
20250302-20250331,-5.71365902,38,30,0.03,1h,5,10,tight-grouse-pig,AwesomeMacdFreqAi,17,-0.010364851161092103,-1.04,-0.0285682951,-2.86,10:00:00,6,0,11,0.35294117647058826,-0.3056662581959476,-0.3360975894117648,-0.15811020673967702,-2.1814455677425384,-1.2377921861793983,-21.125712295301298,-0.4421,0.7556478623114081,0.08908844871099474,18.326
20250302-20250331,-8.885412340000002,46,30,0.03,1h,5,10,aware-corgi-martin,AwesomeMacdFreqAi,27,-0.00737414289255352,-0.74,-0.04442706170000001,-4.44,10:00:00,10,0,17,0.37037037037037035,-0.435587487369813,-0.3290893459259263,-0.14766769649078426,-3.6084790666785245,-1.853786665255036,-23.997783341530017,-0.5314,0.7654689526322841,0.12196210100808634,25.658
20250302-20250331,-2.8072713699999987,42,30,0.03,1h,5,10,modest-gibbon-marlin,AwesomeMacdFreqAi,24,-0.0005308826162188479,-0.05,-0.014036356849999994,-1.4,9:38:00,10,0,14,0.4166666666666667,-0.16298733730704118,-0.11696964041666691,-0.055129539133351946,-1.0094907628562904,-0.5879333739601973,-8.753990620677977,-0.1783,0.9054922186285395,0.10563230539252533,22.56
20250302-20250331,-12.670846810000002,58,30,0.03,1h,5,10,handy-mantis-egret,AwesomeMacdFreqAi,19,-0.010751347226612312,-1.08,-0.06335423405000001,-6.34,10:00:00,6,0,13,0.3157894736842105,-0.5612250964034496,-0.6668866742105259,-0.24855771173225294,-2.562283389268162,-1.9593972512017122,-29.98625789902875,-0.6641,0.6367233443913226,0.1391880040626026,29.503
20250401-20250430,4.2404271599999985,48,30,0.03,1h,5,10,cute-leech-ox,AwesomeMacdFreqAi,23,0.003851640929030236,0.39,0.021202135799999994,2.12,10:00:00,10,0,13,0.43478260869565216,0.30221268978857907,0.18436639826086942,0.09790444706486445,2.203427194219501,0.8454470041399976,31.510415511966414,0.2617,1.1732155601916832,0.04432756916772326,9.12
20250401-20250430,17.363425210000003,52,30,0.03,1h,5,10,huge-krill-weasel,AwesomeMacdFreqAi,23,0.01888519848201429,1.89,0.08681712605000001,8.68,9:52:00,16,0,7,0.6956521739130435,1.851496579359917,0.754931530869565,0.3105707865804648,11.572292938026264,3.1765369398419403,187.93506491913294,0.9833,2.0204468701929557,0.030433087950000014,6.087
20250401-20250430,-4.995788869999998,50,30,0.03,1h,5,10,loving-shrimp-cicada,AwesomeMacdFreqAi,19,-0.006971732502337341,-0.7,-0.02497894434999999,-2.5,10:00:00,7,0,12,0.3684210526315789,-0.2726760966421773,-0.26293625631578954,-0.13570527353417305,-2.6368452318560673,-1.1664085326629043,-21.029562270701682,-0.3954,0.7851333169042259,0.07825142982746384,15.924
20250401-20250430,-10.63212779,54,30,0.03,1h,5,10,real-mole-fowl,AwesomeMacdFreqAi,21,-0.01167527133308907,-1.17,-0.05316063895,-5.32,10:00:00,9,0,12,0.42857142857142855,-0.4971845082736964,-0.5062917995238096,-0.22392141620202,-5.258825182748397,-2.6567987770135626,-32.10252181277914,-0.8588,0.6081375216464652,0.10909365109999997,21.819
20250401-20250430,-4.403191799999998,56,30,0.03,1h,5,10,rested-cougar-bat,AwesomeMacdFreqAi,16,-0.006272398737754557,-0.63,-0.02201595899999999,-2.2,10:00:00,7,0,9,0.4375,-0.24436227704641444,-0.2751994874999999,-0.11602509816144213,-2.3079117858662768,-0.9914238197248951,-24.56311538304,-0.3643,0.7937331588241029,0.05904764670000006,11.81
20250401-20250430,1.483607890000001,46,30,0.03,1h,5,10,liked-walrus-marten,AwesomeMacdFreqAi,23,0.0003263498105605567,0.03,0.007418039450000005,0.74,10:00:00,11,0,12,0.4782608695652174,0.09748411252623668,0.06450469086956523,0.03381229986773682,0.8413074316673538,0.3165703320155639,8.499955684964918,0.098,1.0648069080798284,0.05749378643947569,12.208
20250401-20250430,20.063751849999996,30,30,0.03,1h,5,10,holy-condor-lynx,AwesomeMacdFreqAi,22,0.023814629520967037,2.38,0.10031875924999997,10.03,10:00:00,12,0,10,0.5454545454545454,2.330892743995974,0.9119887204545456,0.5211665044378968,10.624269945105153,3.6647425193643115,182.72050404042,1.1587,2.146566309763373,0.03616956634999994,7.234
20250401-20250430,15.847602719999998,44,30,0.03,1h,5,10,ideal-hare-alpaca,AwesomeMacdFreqAi,21,0.017468656857304792,1.75,0.07923801359999999,7.92,10:00:00,11,0,10,0.5238095238095238,1.6110810810763039,0.7546477485714288,0.4097182864545972,7.277206288195925,2.914139854243685,101.26480684714353,0.942,1.8604084015546538,0.05154938346251471,11.148
